,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
164,-0.6249,Fri Nov 03 19:05:01 +0000 2017,0.76,0.24,0.0,65,@BBC
165,-0.2942,Fri Nov 03 18:30:08 +0000 2017,0.856,0.144,0.0,66,@BBC
166,-0.6369,Fri Nov 03 18:01:04 +0000 2017,0.741,0.259,0.0,67,@BBC
167,0.3818,Fri Nov 03 17:31:05 +0000 2017,0.843,0.0,0.157,68,@BBC
168,0.0,Fri Nov 03 17:03:04 +0000 2017,1.0,0.0,0.0,69,@BBC
169,0.0,Fri Nov 03 17:01:02 +0000 2017,1.0,0.0,0.0,70,@BBC
170,0.7906,Fri Nov 03 16:32:04 +0000 2017,0.708,0.0,0.292,71,@BBC
171,0.0,Fri Nov 03 16:01:05 +0000 2017,1.0,0.0,0.0,72,@BBC
172,0.3612,Fri Nov 03 15:25:06 +0000 2017,0.839,0.0,0.161,73,@BBC
173,0.4019,Fri Nov 03 15:09:46 +0000 2017,0.863,0.0,0.137,74,@BBC
174,0.0,Fri Nov 03 14:05:17 +0000 2017,1.0,0.0,0.0,75,@BBC
175,0.6439,Fri Nov 03 14:04:55 +0000 2017,0.653,0.0,0.347,76,@BBC
176,0.8658,Fri Nov 03 14:04:50 +0000 2017,0.662,0.0,0.338,77,@BBC
177,0.0,Fri Nov 03 14:04:46 +0000 2017,1.0,0.0,0.0,78,@BBC
178,0.0,Fri Nov 03 14:04:10 +0000 2017,1.0,0.0,0.0,79,@BBC
179,0.0,Fri Nov 03 13:33:03 +0000 2017,1.0,0.0,0.0,80,@BBC
180,0.4215,Fri Nov 03 13:03:09 +0000 2017,0.865,0.0,0.135,81,@BBC
181,-0.4215,Fri Nov 03 12:32:01 +0000 2017,0.632,0.236,0.132,82,@BBC
182,0.34,Fri Nov 03 12:05:03 +0000 2017,0.844,0.0,0.156,83,@BBC
183,0.0,Fri Nov 03 11:04:05 +0000 2017,1.0,0.0,0.0,84,@BBC
184,0.0,Fri Nov 03 10:29:02 +0000 2017,1.0,0.0,0.0,85,@BBC
185,0.3612,Fri Nov 03 09:43:00 +0000 2017,0.884,0.0,0.116,86,@BBC
