,city_name,country_code,Temp,Humidity,Cloudiness,Wind Speed,Lat,Long
253,timizart,dz,45.46,99,0,3.27,36.8,4.27
254,port macquarie,au,91.4,31,0,5.82,-31.43,152.92
255,east london,za,68.91,100,0,16.24,-33.02,27.91
256,sturgis,us,35.62,90,1,3.15,41.8,-85.42
257,vojnik,si,40.26,60,0,2.24,46.29,15.3
258,rincon,an,53.19,93,40,8.05,36.72,-4.28
259,ravar,ir,44.38,44,0,1.92,31.27,56.81
260,bilibino,ru,9.55,72,12,6.62,68.05,166.44
261,samarai,pg,80.56,99,12,12.44,-10.62,150.67
262,bulri,pk,73.9,54,0,2.82,24.87,68.33
263,dujuma,so,73.18,95,92,4.5,1.25,42.57
264,matriz de camaragibe,br,71.6,88,0,3.36,-9.15,-35.53
265,malwan,in,84.66,95,68,14.12,16.07,73.47
266,tual,id,83.58,100,8,5.17,-5.67,132.75
267,dzhusaly,kz,26.88,87,32,10.65,51.8,68.33
268,acarau,br,77.64,87,48,13.22,-2.89,-40.12
269,berlevag,no,35.83,100,88,9.53,70.86,29.09
270,vanderhoof,ca,29.44,76,0,3.27,54.02,-124.02
271,rehoboth,na,55.59,92,12,7.18,-23.32,17.08
272,cidreira,br,66.79,91,80,19.82,-30.18,-50.21
273,mataura,pf,33.8,100,75,14.99,60.29,25.04
274,constitucion,mx,72.78,63,0,6.51,25.04,-111.66
275,tonj,sd,68.64,94,48,2.48,7.27,28.68
276,roebourne,au,102.43,8,12,18.25,-20.78,117.13
277,kabale,ug,53.16,100,48,2.48,-1.25,29.99
278,kirovskiy,ru,36.96,49,8,7.85,45.09,133.51
279,jishou,cn,55.36,72,0,8.63,28.32,109.72
280,barranca,pe,59.86,97,88,11.43,-10.75,-77.77
281,zaidpur,in,68,82,0,4.16,26.83,81.33
282,chagda,ru,2.53,56,0,6.62,62.1,126.7
283,hobyo,so,76.69,93,80,4.38,5.35,48.53
284,balkanabat,tm,50.28,76,0,2.26,39.51,54.37
285,paysandu,uy,66.52,75,20,6.62,-32.32,-58.08
286,chenghai,cn,69.8,49,0,8.95,23.47,116.77
287,kaeo,nz,66.16,69,56,17.36,-35.1,173.78
288,jamame,so,77.59,90,92,4.27,0.07,42.74
289,hamilton,us,38.95,69,90,10.29,39.4,-84.56
290,erenhot,cn,34.75,43,0,12.1,43.65,111.98
291,papara,pf,84.2,66,75,10.29,-17.75,-149.55
292,esil,kz,29.8,89,48,12.77,51.96,66.4
293,jacareacanga,br,78.54,93,12,1.03,-6.22,-57.75
294,naze,jp,69.8,49,75,17.22,28.37,129.48
295,barentsburg,sj,,,,,,
296,kaitangata,nz,66.97,62,0,11.54,-46.23,169.75
297,longyearbyen,sj,24.8,68,75,9.17,78.22,15.64
298,zambezi,zm,64.68,99,92,6.73,-13.54,23.1
299,kismayo,so,79.3,100,92,9.98,-0.36,42.55
300,nemuro,jp,42.8,81,75,9.17,43.32,145.57
301,mae sai,th,73.4,88,0,10.29,20.43,99.88
302,chapaevsk,ru,46.4,100,90,4.47,52.98,49.71
303,camabatela,ao,64.68,95,80,3.6,-8.19,15.38
304,karasjok,no,32,63,0,4.94,69.47,25.51
305,karamea,nz,60.36,76,44,2.71,-41.65,172.01
306,saint-francois,gp,77,88,0,4.7,16.25,-61.27
307,chara,ru,15.76,72,12,2.59,56.91,118.26
308,mogadishu,so,79.48,100,88,5.39,2.04,45.34
309,buchanan,lr,77,94,75,4.72,5.88,-10.05
310,kamenskoye,ru,42.18,95,88,14.23,48.41,40.27
311,lebu,cl,53.88,100,92,14.79,-37.62,-73.65
312,talcahuano,cl,50,93,40,8.97,-36.72,-73.12
313,hamilton,bm,75.2,69,75,19.46,32.29,-64.78
314,carnarvon,au,81.19,53,0,10.87,-24.87,113.63
315,dudinka,ru,3.34,64,12,14.23,69.41,86.18
316,martapura,id,84.2,79,20,4.7,-3.42,114.85
317,mathathane,bw,58.78,79,68,3.6,-22.27,28.75
318,saint george,bm,75.2,69,75,19.46,32.38,-64.68
319,hofn,is,42.85,96,56,16.69,64.25,-15.21
320,san-pedro,ci,74.98,98,36,4.94,4.75,-6.64
321,grand gaube,mu,73.4,94,75,3.36,-20.01,57.66
322,husavik,is,50,57,0,19.46,66.04,-17.34
323,raudeberg,no,41,65,88,13.87,61.94,5.11
324,grand river south east,mu,73.4,94,75,3.36,-20.29,57.78
325,poronaysk,ru,35.79,100,44,29.77,49.22,143.12
326,cockburn town,tc,82.68,99,0,6.85,21.46,-71.14
327,birjand,ir,48.2,24,0,4.7,32.87,59.22
328,igunga,tz,60.99,82,0,8.41,-4.28,33.88
329,miri,my,78.8,83,75,6.93,4.41,114.01
330,abeche,td,71.38,19,44,11.43,13.83,20.83
331,usinsk,ru,9.78,82,0,7.18,65.99,57.53
332,farkhor,tj,43.21,53,0,3.6,37.49,69.4
333,zlatoustovsk,ru,16.89,54,64,6.4,53.07,132.97
334,cockburn town,bs,80.2,100,88,11.77,24.03,-74.52
335,katsuura,jp,66.2,45,20,25.28,35.13,140.3
336,nurobod,uz,68,22,36,11.41,39.58,66.58
337,muros,es,57.2,76,75,5.82,42.78,-9.06
338,dunmore town,bs,76.56,100,0,21.5,25.5,-76.65
339,bambanglipuro,id,83.98,79,12,5.06,-7.95,110.28
340,paka,my,75.2,94,75,3.36,4.64,103.44
341,buala,sb,77.64,100,92,6.96,-8.14,159.59
342,snezhnogorsk,ru,15.8,92,0,2.24,69.19,33.25
343,ndago,tz,62.56,78,0,11.88,-4.6,34.35
344,otacilio costa,br,61.3,92,92,8.63,-27.48,-50.12
345,tigil,ru,42.54,79,80,11.65,57.8,158.67
346,shenjiamen,cn,64.68,98,64,21.39,29.96,122.3
347,stoyba,ru,20.17,56,8,6.4,53.08,132.5
348,honiara,sb,87.8,70,40,4.7,-9.43,159.95
349,taitung,tw,75.2,60,20,13.87,22.76,121.14
350,kualakapuas,id,84.2,79,32,4.7,-3.01,114.39
351,liberal,us,58.33,52,1,5.82,37.04,-100.92
352,nouakchott,mr,82.36,91,24,16.8,18.09,-15.98
353,mokobeng,bw,54.28,86,64,5.39,-23,27.67
354,mahebourg,mu,73.4,94,75,3.36,-20.41,57.7
355,zmievka,ru,42.19,87,90,6.71,55.27,37.49
356,sobolevo,ru,42.8,87,90,8.95,55.5,38.65
357,kirakira,sb,78.54,100,92,13.78,-10.45,161.92
358,lata,sb,35.6,64,0,23.04,59.97,17.7
359,tiksi,ru,-0.4,65,32,8.97,71.69,128.87
360,meulaboh,id,81.55,100,0,2.71,4.14,96.13
361,sofiysk,ru,16.89,54,64,6.4,53.07,132.97
362,mar del plata,ar,48.2,93,90,5.82,-38,-57.56
363,camalu,mx,57.39,96,0,2.71,30.85,-116.07
364,victoria,sc,78.8,88,40,3.36,-4.62,55.45
365,tilichiki,ru,36.55,96,88,13,60.47,166.1
366,labuhan,id,82.81,100,0,6.73,-6.88,112.21
367,eskasem,af,14.5,88,0,1.81,36.72,71.61
368,huarmey,pe,62.2,65,76,3.15,-10.07,-78.15
369,corinto,ni,75.34,94,48,3.04,12.48,-87.17
370,barkly west,za,64.4,55,24,12.75,-28.54,24.52
371,romitan,uz,57.2,47,0,4.7,39.93,64.38
372,babanusah,sd,67.15,92,8,2.93,11.03,27.73
373,tim,ru,43.53,96,92,14.79,51.62,37.12
374,coahuayana,mx,71.6,94,40,2.71,18.73,-103.68
375,gazni,af,80.6,83,20,13,10.67,-61.52
376,miandrivazo,mg,73.54,58,12,3.49,-19.52,45.47
377,necochea,ar,49.29,80,0,2.71,-38.55,-58.74
378,la asuncion,ve,79.57,98,36,12.88,11.03,-63.86
379,olesno,pl,37.4,91,75,18.34,50.88,18.42
380,avarua,ck,77,69,75,17.22,-21.21,-159.78
381,mnogovershinnyy,ru,26.74,58,56,8.75,53.94,139.92
382,neuquen,ar,57.2,33,0,8.05,-38.95,-68.06
383,stantsiya gorchakovo,uz,,,,,,
384,ancud,cl,48.16,96,92,8.41,-41.87,-73.82
385,mehamn,no,34.12,93,88,10.76,71.04,27.85
386,zhanaozen,kz,54.82,91,0,11.54,43.3,52.8
387,yar-sale,ru,14.68,89,64,6.96,66.83,70.83
388,batagay-alyta,ru,-15.47,63,0,4.61,67.8,130.41
389,camana,pe,58.24,100,76,7.07,-16.62,-72.71
390,gambela,et,63.51,95,80,2.93,8.25,34.58
391,yambio,sd,67.42,93,48,3.04,4.57,28.4
392,khormuj,ir,58.78,59,0,2.59,28.75,51.5
393,nara,ml,64.68,33,0,6.73,15.21,-7.26
394,yellowknife,ca,32,97,90,8.05,62.46,-114.35
395,coxim,br,73.27,85,12,2.15,-18.51,-54.76
396,rikitea,pf,72.96,100,44,3.15,-23.12,-134.97
397,amapa,br,82.54,100,8,12.77,2.13,-50.5
398,santa maria,us,56.48,87,90,11.41,34.95,-120.44
399,tautira,pf,84.2,66,75,10.29,-17.73,-149.15
400,haines junction,ca,22.51,77,0,3.15,60.75,-137.51
401,hailar,cn,33.4,64,0,7.4,49.2,119.7
402,yirol,sd,39.2,86,75,2.24,47.28,11.57
403,attawapiskat,ca,28.36,81,56,5.95,52.3,-81.62
404,tarata,pe,29.49,77,0,1.36,-17.47,-70.03
405,okha,ru,32.5,88,64,17.58,53.57,142.95
406,kingman,us,82.26,17,1,10.29,35.19,-114.05
407,dafeng,cn,69.54,46,0,11.43,23.45,108.59
408,tevaitoa,pf,80.83,97,0,9.19,-16.78,-151.5
409,okhotsk,ru,21.52,100,24,10.65,59.38,143.3
